County_State	County_Name	Non-Commercial -Civil Public Use Airports and Seaplane base	Non-Commercial -Other Aerodromes	Number of Bridges	Number of business establishments	Number of resident workers who commute to work in other countie	Number of resident workers who commute within county	Number of resident workers who work at home	Number of resident workers	Number of residents	Number of workers from other counties who commute to work in th	Pct of Medium to Fair Condition Bridges	Pct of Poor Condition Bridges	Percent of resident workers who commute by transit	Primary and Commercial Airports	Route miles of freight railroad	Route miles of passenger railroad and rail transit	State_Name	Total Docks	Total Marinas
Union County, Arkansas	Union County	1	2	285	1087	938	14525	205	16000	40335	1470	0.985964912	0.014035088	0.00125	1	39.9	0	Arkansas	0	0
Van Buren County, Arkansas	Van Buren County	1	2	98	310	1723	3535	250	5400	16890	1863	0.969387755	0.030612245	0	0			Arkansas		
Washington County, Arkansas	Washington County	2	7	447	5442	18079	82910	4085	103030	219930	20020	0.959731544	0.040268456	0.009366204	0	37.3	24.9	Arkansas		
White County, Arkansas	White County	2	8	308	1587	8356	23030	915	32005	78825	8986	0.983766234	0.016233766	0.001968442	0	54.3	39	Arkansas		
Woodruff County, Arkansas	Woodruff County	1	5	78	127	737	1695	45	2435	6875	745	0.974358974	0.025641026	0.01026694	0	36.8	0	Arkansas	2	0
Yell County, Arkansas	Yell County	1	4	227	308	4088	4430	340	8625	21715	4181	0.973568282	0.026431718	0.003478261	0	17.4	0	Arkansas		
Alameda County, California	Alameda County	2	7	650	40095	266144	467980	43890	736980	1605215	268342	0.933846154	0.066153846	0.142358002	1	200.3	155.8	California	14	0
Alpine County, California	Alpine County	1	1	32	37	74	225	65	400	1185	183	0.9375	0.0625	0	0			California		
Amador County, California	Amador County	1	6	60	842	3836	8285	690	12195	36965	3915	0.933333333	0.066666667	0.000656007	0	4.3	0	California		
Butte County, California	Butte County	3	8	437	4724	7342	80320	5160	87940	223875	7576	0.940503432	0.059496568	0.012428929	0	96.7	45.9	California		
Calaveras County, California	Calaveras County	1	3	105	924	6954	8915	1235	15995	44785	7089	0.876190476	0.123809524	0.008440138	0			California		
Colusa County, California	Colusa County	1	11	212	372	2219	6720	440	8945	21360	2223	0.882075472	0.117924528	0.003353829	0	34.4	0	California		
Contra Costa County, California	Contra Costa County	1	4	607	23951	214679	289535	29745	506485	1107925	216371	0.940691928	0.059308072	0.103290324	1	183.9	84	California	19	0
Del Norte County, California	Del Norte County	3	0	95	411	134	7870	515	8395	27630	524	0.842105263	0.157894737	0.007742704	0			California	0	0
El Dorado County, California	El Dorado County	4	8	184	4516	30934	43720	6230	78175	183000	34433	0.89673913	0.10326087	0.017204989	0			California		
Fresno County, California	Fresno County	6	25	897	16881	31516	335565	16115	368120	963160	32524	0.914158305	0.085841695	0.012971314	1	183.5	33.6	California		
Glenn County, California	Glenn County	2	1	241	452	3562	6565	480	10140	27975	3588	0.908713693	0.091286307	0.003451677	0	39.3	0	California		
Humboldt County, California	Humboldt County	8	0	396	3209	938	56370	4090	57605	135180	1235	0.911616162	0.088383838	0.019008767	1			California	1	0
Imperial County, California	Imperial County	4	7	450	2538	3281	52495	2295	57190	178805	4306	0.884444444	0.115555556	0.009092499	1	203.6	89.6	California		
Inyo County, California	Inyo County	7	2	70	501	918	7115	320	8085	18325	971	0.957142857	0.042857143	0.011131725	0			California		
Kern County, California	Kern County	13	19	662	12924	16184	306240	9695	323690	871335	17413	0.944108761	0.055891239	0.009237233	1	349.1	41.6	California		
Kings County, California	Kings County	1	14	163	1643	12029	42370	2035	54565	150260	12170	0.963190184	0.036809816	0.009255017	0	54.7	27.1	California		
Lake County, California	Lake County	2	2	128	1118	4609	16720	2485	21400	64075	4678	0.890625	0.109375	0.007943925	0			California		
Lassen County, California	Lassen County	5	2	107	414	679	7925	515	8760	31945	827	0.91588785	0.08411215	0.008561644	0	161	0	California		
Los Angeles County, California	Los Angeles County	9	139	3538	275316	324998	4248855	239520	4591360	10057155	339313	0.962690786	0.037309214	0.065418525	3	509.2	245	California	97	0
Madera County, California	Madera County	2	5	241	1961	14773	32635	1915	47615	153365	14968	0.846473029	0.153526971	0.003150268	0	59.3	26.5	California		
Marin County, California	Marin County	1	4	205	10070	45014	81445	12800	127180	259360	45615	0.907317073	0.092682927	0.097106463	0	11	0	California	1	0
Mariposa County, California	Mariposa County	1	1	115	324	1945	5015	600	6965	17645	1959	0.8	0.2	0.018664752	0			California		
Mendocino County, California	Mendocino County	5	7	355	2468	2318	33125	2905	35630	87410	2477	0.926760563	0.073239437	0.004911591	0	40.8	40.8	California	0	0
Merced County, California	Merced County	4	8	532	3110	24695	68970	3215	93760	265000	24784	0.879699248	0.120300752	0.010292235	1	97.4	40.8	California		
Modoc County, California	Modoc County	6	3	87	153	357	2810	455	3370	9035	556	0.931034483	0.068965517	0.004451039	0	181.5	0	California		
Mono County, California	Mono County	2	2	52	603	392	7105	875	7520	14050	406	0.903846154	0.096153846	0.166223404	1			California		
Monterey County, California	Monterey County	3	9	379	8754	20497	161785	8175	182615	430200	20778	0.920844327	0.079155673	0.019735509	1	110	108.9	California	0	0
Napa County, California	Napa County	1	7	154	4270	15201	52865	3930	68275	140825	15375	0.857142857	0.142857143	0.014705236	0	39.2	0	California		
Nevada County, California	Nevada County	2	7	134	3077	9566	29530	4180	40065	98640	10539	0.865671642	0.134328358	0.013353301	0	29.6	29.6	California		
Orange County, California	Orange County	1	36	1160	96901	229530	1265070	80810	1501855	3132210	235795	0.955172414	0.044827586	0.023890455	1	121.5	67.6	California	0	0
Placer County, California	Placer County	3	2	334	10816	60284	101345	13090	163250	370570	61865	0.958083832	0.041916168	0.012036753	0	144.8	144.8	California		
Plumas County, California	Plumas County	3	7	150	590	582	6275	410	7190	18755	907	0.933333333	0.066666667	0.001947149	0	145.1	0	California		
Riverside County, California	Riverside County	8	34	1094	38946	276459	641575	47750	923845	2323890	281530	0.9488117	0.0511883	0.0133399	1	171.5	130.3	California		
Sacramento County, California	Sacramento County	3	18	735	29515	118130	511675	33575	632480	1479300	120633	0.963265306	0.036734694	0.027123387	1	158.5	80.3	California	2	0
San Benito County, California	San Benito County	1	3	75	986	13593	11970	805	25605	58050	13617	0.92	0.08	0.005467682	0	11.5	2	California		
San Bernardino County, California	San Bernardino County	13	54	1419	35635	243808	586185	38140	834180	2106755	247824	0.925299507	0.074700493	0.015740008	1	766.9	371.5	California		
San Diego County, California	San Diego County	11	40	1603	85077	33539	1493425	107560	1536745	3253355	40525	0.964441672	0.035558328	0.029839043	1	189	117	California	21	0
San Francisco County, California	San Francisco County	0	5	129	34518	115903	361120	31730	479140	850280	117551	0.953488372	0.046511628	0.336164795	0	15.7	15.7	California	20	0
San Joaquin County, California	San Joaquin County	3	14	645	11512	77033	199980	10905	277800	714860	77652	0.899224806	0.100775194	0.014272858	1	236	96.8	California	2	0
San Luis Obispo County, California	San Luis Obispo County	2	11	395	8402	13789	113090	8480	127440	278680	14233	0.962025316	0.037974684	0.016282172	1	72.3	72.3	California	1	0
San Mateo County, California	San Mateo County	2	0	362	21366	164074	222355	19230	387600	754750	164871	0.859116022	0.140883978	0.100877193	1	41.3	34.2	California	5	0
Santa Barbara County, California	Santa Barbara County	2	9	422	11761	12247	189245	10945	202070	439395	12707	0.895734597	0.104265403	0.034369278	2	144.4	108.4	California	1	0
Santa Clara County, California	Santa Clara County	4	5	955	48711	117288	791635	43035	912305	1885055	120011	0.915183246	0.084816754	0.041395147	1	108.3	66.2	California		
Santa Cruz County, California	Santa Cruz County	1	6	192	7061	28828	99440	9750	128895	270930	29354	0.875	0.125	0.028278832	0	42.2	2.3	California		
Shasta County, California	Shasta County	2	7	500	4195	4365	64420	3610	69150	179230	4697	0.922	0.078	0.007230658	1	73.2	73.2	California		
Sierra County, California	Sierra County	1	1	55	67	255	825	180	1185	2930	365	0.781818182	0.218181818	0	0	5.6	1.6	California		
Siskiyou County, California	Siskiyou County	7	3	430	1077	699	14735	1410	15770	43670	1022	0.939534884	0.060465116	0.006277743	0	163.8	90.7	California		
Solano County, California	Solano County	2	5	374	7079	76799	111510	7230	189125	429595	77493	0.938502674	0.061497326	0.028235294	0	84.1	66.3	California	4	0
Sonoma County, California	Sonoma County	3	7	615	14174	36013	201875	16030	238690	497775	36666	0.892682927	0.107317073	0.01817839	1	43.3	0	California	0	0
Stanislaus County, California	Stanislaus County	3	6	382	9096	47954	157605	8930	206065	530560	48409	0.882198953	0.117801047	0.009147599	0	134.1	20.8	California		
Sutter County, California	Sutter County	1	14	121	1780	15823	21775	1650	37745	95405	15946	0.884297521	0.115702479	0.009007816	0	27.3	10.6	California		
Tehama County, California	Tehama County	2	4	450	976	6705	15800	1000	22690	63015	6902	0.906666667	0.093333333	0.003966505	0	58.3	40.8	California		
Trinity County, California	Trinity County	5	2	194	246	518	4060	590	4590	13180	522	0.896907216	0.103092784	0.009803922	0			California		
Tulare County, California	Tulare County	5	8	607	6413	23907	141335	4590	165800	455770	24430	0.942339374	0.057660626	0.00747889	0	153.3	22	California		
Tuolumne County, California	Tuolumne County	2	3	129	1295	2804	16145	1370	19075	53865	2908	0.914728682	0.085271318	0.003879423	0	28.9	0	California		
Ventura County, California	Ventura County	2	15	502	21339	84503	309345	21435	395140	843110	85576	0.962151394	0.037848606	0.01328643	0	98.2	76.2	California	9	0
Yolo County, California	Yolo County	3	7	274	4155	33176	58070	4220	91745	209670	33555	0.937956204	0.062043796	0.038748706	0	69.5	13.2	California	0	0
Yuba County, California	Yuba County	1	4	144	819	14072	12955	1410	27105	73895	14150	0.944444444	0.055555556	0.011990408	0	53.6	15.9	California		
Adams County, Colorado	Adams County	1	15	521	10053	139895	93640	10810	235045	479975	141380	0.961612284	0.038387716	0.037524729	0	94	25.2	Colorado		
Alamosa County, Colorado	Alamosa County	0	3	16	510	788	5410	165	6240	16355	823	1	0	0.000641026	1	31.7	0	Colorado		
Arapahoe County, Colorado	Arapahoe County	1	18	380	19014	157360	156735	20035	316545	617670	159664	0.963157895	0.036842105	0.045980824	0	39.8	4	Colorado		
Archuleta County, Colorado	Archuleta County	1	0	43	524	353	5030	605	5545	12355	515	0.930232558	0.069767442	0.000721371	0	1.7	1.7	Colorado		
Baca County, Colorado	Baca County	1	2	106	80	110	1450	130	1605	3650	158	0.952830189	0.047169811	0	0	103.8	0	Colorado		
Bent County, Colorado	Bent County	1	0	68	56	356	920	85	1300	5815	380	0.897058824	0.102941176	0	0	70.2	36.9	Colorado		
Boulder County, Colorado	Boulder County	2	11	289	12551	30772	131975	18550	164850	313960	32654	0.979238754	0.020761246	0.049833182	0	57.2	8.8	Colorado		
Broomfield County, Colorado	Broomfield County			66	2158	23295	9335	2625	32940	62450	23599	1	0	0.037006679		7.3	0	Colorado		
Chaffee County, Colorado	Chaffee County	2	3	84	956	676	7405	910	8120	18505	700	0.964285714	0.035714286	0.001231527	0			Colorado		
Cheyenne County, Colorado	Cheyenne County	0	1	61	64	60	870	145	965	2070	89	1	0	0	0	62.6	0	Colorado		
Clear Creek County, Colorado	Clear Creek County	0	4	76	353	2625	2335	710	5040	9240	2700	0.960526316	0.039473684	0.015873016	0			Colorado		
Conejos County, Colorado	Conejos County			63	116	1127	1615	130	2810	8215	1208	0.936507937	0.063492063	0.001423488		53.1	32.9	Colorado		
Costilla County, Colorado	Costilla County	1	2	38	46	264	830	70	1130	3590	301	1	0	0	0	32	0	Colorado		
Crowley County, Colorado	Crowley County	0	1	28	31	664	940	40	1605	5535	668	0.892857143	0.107142857	0	0			Colorado		
Custer County, Colorado	Custer County	1	1	20	139	274	945	175	1240	4375	288	0.95	0.05	0	0			Colorado		
Delta County, Colorado	Delta County	2	20	64	824	2459	8330	775	10985	30220	2661	1	0	0.002730997	0	69.7	0	Colorado		
Denver County, Colorado	Denver County	0	11	439	25694	131994	218725	24590	353975	663305	135042	0.972665148	0.027334852	0.068069779	1	53.2	19.8	Colorado		
Dolores County, Colorado	Dolores County	0	2	30	56	255	450	50	735	1790	280	1	0	0	0			Colorado		
Douglas County, Colorado	Douglas County	0	11	239	9270	88004	71860	17585	162625	314240	90621	0.962343096	0.037656904	0.019554189	0	74.6	0	Colorado		
Eagle County, Colorado	Eagle County	0	4	171	3499	4819	26925	2635	32015	52895	5033	0.923976608	0.076023392	0.060440419	1	62.8	51.6	Colorado		
El Paso County, Colorado	El Paso County	0	24	660	17542	14788	301490	19215	320425	665170	18516	0.959090909	0.040909091	0.007396427	1	80.7	8.7	Colorado		
Elbert County, Colorado	Elbert County	0	21	85	622	7977	4300	1440	12410	24225	8108	0.952941176	0.047058824	0.002014504	0	28.5	0	Colorado		
Fremont County, Colorado	Fremont County	1	10	137	865	2866	11125	560	14100	46835	2985	0.934306569	0.065693431	0.003120567	0	30	0	Colorado		
Garfield County, Colorado	Garfield County	2	12	167	2447	7100	21865	1995	29415	57495	7548	0.97005988	0.02994012	0.041305456	0	71.1	65.1	Colorado		
Gilpin County, Colorado	Gilpin County	0	2	18	125	1395	1705	395	3125	5710	1415	1	0	0.0144	0	16.8	16.8	Colorado		
Grand County, Colorado	Grand County	2	4	82	843	806	7330	950	8235	14490	891	0.914634146	0.085365854	0.017000607	0	65.5	65.5	Colorado		
Gunnison County, Colorado	Gunnison County	0	3	100	1146	297	8525	355	8910	15890	389	0.95	0.05	0.022446689	1	4.4	0	Colorado		
Hinsdale County, Colorado	Hinsdale County	0	1	31	70	31	370	15	405	855	47	1	0	0	0			Colorado		
Huerfano County, Colorado	Huerfano County	2	5	94	147	436	1855	200	2305	6520	440	0.925531915	0.074468085	0.015184382	0	68.8	0	Colorado		
Jackson County, Colorado	Jackson County	1	2	45	68	88	630	130	725	1305	98	0.977777778	0.022222222	0.005517241	0			Colorado		
Jefferson County, Colorado	Jefferson County	1	13	445	17303	147218	145460	21825	295610	558810	149971	0.961797753	0.038202247	0.031477284	0	47.7	25.8	Colorado		
Kiowa County, Colorado	Kiowa County	1	1	31	35	115	545	45	670	1465	125	0.967741935	0.032258065	0.005970149	0	2.1	0	Colorado		
Kit Carson County, Colorado	Kit Carson County	1	3	134	278	148	3430	255	3620	8175	190	0.985074627	0.014925373	0.008287293	0	59.7	0	Colorado		
La Plata County, Colorado	La Plata County	0	7	95	2400	509	25610	1810	27715	53995	2094	0.989473684	0.010526316	0.018040772	1	32.7	32.7	Colorado		
Lake County, Colorado	Lake County	1	2	16	213	1303	2860	385	4190	7400	1322	1	0	0.016706444	0			Colorado		
Larimer County, Colorado	Larimer County	2	17	543	10935	25614	136090	12175	165415	325230	29182	0.963167587	0.036832413	0.013324064	0	99.1	0	Colorado		
Las Animas County, Colorado	Las Animas County	1	5	205	369	288	5585	370	6105	14320	521	0.87804878	0.12195122	0.015561016	0	136.6	60.7	Colorado		
Lincoln County, Colorado	Lincoln County	1	4	138	140	176	1180	135	1355	5515	196	0.898550725	0.101449275	0	0	71.3	0	Colorado		
Logan County, Colorado	Logan County	1	2	182	581	870	8860	465	10350	21860	1476	0.917582418	0.082417582	0.003864734	0	111.1	0	Colorado		
Mesa County, Colorado	Mesa County	0	12	311	4446	3202	62695	3735	66980	148165	4206	0.974276527	0.025723473	0.005598686	1	103.6	71.9	Colorado		
Mineral County, Colorado	Mineral County	1	0	26	64	47	265	45	310	795	47	1	0	0.012903226	0			Colorado		
Moffat County, Colorado	Moffat County	1	2	79	405	1285	4795	265	6260	13035	1462	0.886075949	0.113924051	0.009584665	0	53.4	0	Colorado		
Montezuma County, Colorado	Montezuma County	0	4	68	755	969	9240	1040	10840	26005	1602	0.926470588	0.073529412	0.000922509	1			Colorado		
Montrose County, Colorado	Montrose County	1	11	119	1288	2425	13965	645	16555	40865	2552	0.899159664	0.100840336	0.006342495	1	16.2	0	Colorado		
Morgan County, Colorado	Morgan County	2	4	189	697	1147	11740	570	13010	28290	1268	0.957671958	0.042328042	0.001460415	0	56.6	37.3	Colorado		
Otero County, Colorado	Otero County	1	4	200	415	1225	5895	400	7155	18440	1266	0.84	0.16	0.00055905	0	74.6	44.9	Colorado		
Ouray County, Colorado	Ouray County	0	2	36	291	667	1540	255	2240	4650	695	0.972222222	0.027777778	0.001785714	0			Colorado		
Park County, Colorado	Park County	0	4	55	467	5090	3540	1175	8745	16440	5193	0.872727273	0.127272727	0.012464265	0			Colorado		
Phillips County, Colorado	Phillips County	2	1	27	142	214	1780	75	2055	4345	277	0.962962963	0.037037037	0.00973236	0	36.2	0	Colorado		
Pitkin County, Colorado	Pitkin County	0	3	59	1594	1003	9255	1300	10540	17545	1249	1	0	0.120018975	1			Colorado		
Prowers County, Colorado	Prowers County	2	3	137	342	291	4895	415	5380	12120	489	0.890510949	0.109489051	0.000743494	0	38.2	38.2	Colorado		
Pueblo County, Colorado	Pueblo County	0	9	263	3117	6849	57510	1850	64700	162160	7157	0.88973384	0.11026616	0.011746522	1	129.4	0	Colorado		
Rio Blanco County, Colorado	Rio Blanco County	2	6	54	214	120	3010	245	3190	6660	176	0.907407407	0.092592593	0.012225705	0	9.7	0	Colorado		
Rio Grande County, Colorado	Rio Grande County	2	4	71	340	1414	3210	180	4680	11625	1467	0.971830986	0.028169014	0.003205128	0	51.9	0	Colorado		
Routt County, Colorado	Routt County	1	9	96	1728	302	13465	1380	13875	23980	383	0.927083333	0.072916667	0.020900901	1	111.9	0	Colorado		
Saguache County, Colorado	Saguache County	2	2	45	127	840	1605	190	2445	6255	840	0.911111111	0.088888889	0.010224949	0	0.5	0	Colorado		
San Juan County, Colorado	San Juan County	0	3	12	74	65	270	10	350	550	77	0.916666667	0.083333333	0.011428571	0	13.4	13.4	Colorado		
San Miguel County, Colorado	San Miguel County	1	5	54	636	278	4215	525	4555	7765	343	0.981481481	0.018518519	0.133918771	0			Colorado		
Sedgwick County, Colorado	Sedgwick County	1	0	65	76	144	695	50	990	2365	311	0.969230769	0.030769231	0.01010101	0	31.2	0	Colorado		
Summit County, Colorado	Summit County	0	3	55	2259	775	16670	1410	17765	29270	1097	0.945454545	0.054545455	0.053475936	0			Colorado		
Teller County, Colorado	Teller County	0	1	27	720	4743	6740	860	11635	23470	4872	0.925925926	0.074074074	0.004727116	0			Colorado		
Washington County, Colorado	Washington County	1	0	77	115	662	1465	225	2140	4815	676	0.935064935	0.064935065	0.007009346	0	40.2	37.4	Colorado		
Weld County, Colorado	Weld County	2	36	604	6274	48380	81315	6925	131610	278065	50257	0.92218543	0.07781457	0.005797432	0	192.4	35.5	Colorado		
Yuma County, Colorado	Yuma County	2	6	47	380	252	4490	440	4805	10150	309	0.914893617	0.085106383	0.000832466	0	40.1	40.1	Colorado		
Fairfield County, Connecticut	Fairfield County	2	15	840	27207	33875	355950	26015	458235	941620	101973	0.926190476	0.073809524	0.101683634	0	103.3	64.2	Connecticut	1	0
Hartford County, Connecticut	Hartford County	2	34	901	22880	53635	366340	16450	433635	895700	67175	0.927857936	0.072142064	0.034118556	1	101.1	34.5	Connecticut	4	0
Litchfield County, Connecticut	Litchfield County	0	17	456	4714	38945	52430	5110	96120	185140	43620	0.914473684	0.085526316	0.012484395	0	66.5	16	Connecticut		
Middlesex County, Connecticut	Middlesex County	0	9	304	4201	43180	42465	4560	87310	164440	44835	0.927631579	0.072368421	0.016435689	0	40.9	21.4	Connecticut	4	0
New Haven County, Connecticut	New Haven County	2	11	871	19562	97690	306305	16580	414015	860875	107383	0.931113662	0.068886338	0.043053996	1	114.8	84.1	Connecticut	7	0
New London County, Connecticut	New London County	1	13	430	5907	20270	111145	6660	138560	272035	27343	0.925581395	0.074418605	0.01522806	0	97.6	34.3	Connecticut	5	0
Tolland County, Connecticut	Tolland County	0	5	204	2440	42235	31300	3450	76855	151690	45550	0.941176471	0.058823529	0.0193221	0	24.1	0	Connecticut		
Windham County, Connecticut	Windham County	2	9	264	2119	16760	30435	2220	56780	117080	26307	0.939393939	0.060606061	0.005811906	0	46.6	0	Connecticut		
Kent County, Delaware	Kent County	1	19	198	3583	17360	54075	2925	76485	171475	22362	0.96969697	0.03030303	0.011623194	0	43	0	Delaware		
New Castle County, Delaware	New Castle County	1	13	499	15971	4620	217230	11245	265675	551995	48351	0.965931864	0.034068136	0.040688812	0	125.9	37.8	Delaware	7	0
Sussex County, Delaware	Sussex County	1	9	166	5606	7950	67925	4605	90265	211225	22345	0.93373494	0.06626506	0.007810336	0	93.3	0	Delaware	2	0
District of Columbia, District of Columbia	District of Columbia	0	11	244	23585	0	259790	18015	345735	659010	85451	0.967213115	0.032786885	0.367694911	0	31.7	22.5	District of Columbia	2	0
Alachua County, Florida	Alachua County	0	14	112	6195	6704	107735	5295	115450	256580	7599	0.991071429	0.008928571	0.042572542	1	84.5	0	Florida		
